Timestamp,Temperature (°C),Solar Generation (kWh),Weather Condition
2018-11-02,26.3125,11.32,Cloudy
2018-11-03,26.170833333333334,8.41,Partly Cloudy
2018-11-04,26.004166666666666,8.51,Rainy
2018-11-05,25.983333333333334,6.7299999999999995,Cloudy
2018-11-06,25.995833333333334,11.17,Rainy
2018-11-07,25.745833333333334,10.29,Cloudy
2018-11-08,26.21666666666667,8.99,Cloudy
2018-11-09,25.883333333333336,8.75,Cloudy
2018-11-10,26.075,10.120000000000001,Rainy
2018-11-11,26.083333333333332,8.39,Rainy
2018-11-12,26.229166666666668,10.94,Cloudy
2018-11-13,26.5125,8.74,Cloudy
2018-11-14,26.3625,11.05,Cloudy
2018-11-15,26.78333333333333,12.31,Cloudy
2018-11-16,25.891666666666666,11.23,Cloudy
2018-11-17,26.379166666666666,8.89,Cloudy
2018-11-18,25.995833333333334,7.67,Cloudy
2018-11-19,26.34583333333333,10.06,Cloudy
2018-11-20,26.141666666666666,9.5,Cloudy
2018-11-21,25.8125,8.95,Cloudy
2018-11-22,25.65833333333333,7.2,Cloudy
2018-11-23,25.599999999999998,6.76,Rainy
2018-11-24,25.891666666666666,9.25,Cloudy
2018-11-25,26.145833333333332,7.14,Cloudy
2018-11-26,26.583333333333332,11.41,Cloudy
2018-11-27,26.40833333333333,12.23,Partly Cloudy
2018-11-28,26.2375,9.31,Cloudy
2018-11-29,26.1125,12.38,Cloudy
2018-11-30,25.695833333333336,8.15,Cloudy
2018-12-01,26.837500000000002,15.03,Partly Cloudy
2018-12-02,26.075,9.91,Cloudy
2018-12-03,26.129166666666666,9.76,Cloudy
2018-12-04,26.133333333333336,7.21,Rainy
2018-12-05,26.004166666666666,8.82,Cloudy
2018-12-06,26.129166666666666,10.64,Cloudy
2018-12-07,26.370833333333334,10.65,Cloudy
2018-12-08,26.516666666666666,7.98,Cloudy
2018-12-09,26.325,10.37,Cloudy
2018-12-10,26.1375,11.219999999999999,Partly Cloudy
2018-12-11,26.116666666666664,12.92,Rainy
2018-12-12,26.079166666666666,9.4,Cloudy
2018-12-13,26.275000000000002,9.75,Cloudy
2018-12-14,25.895833333333332,8.3,Rainy
2018-12-15,26.349999999999998,11.53,Cloudy
2018-12-16,25.900000000000002,9.22,Rainy
2018-12-17,25.620833333333334,8.68,Cloudy
2018-12-18,26.03333333333333,8.92,Rainy
2018-12-19,26.079166666666666,8.16,Cloudy
2018-12-20,26.258333333333336,12.7,Cloudy
2018-12-21,25.9875,11.12,Cloudy
2018-12-22,25.037499999999998,6.66,Rainy
2018-12-23,26.09166666666667,9.370000000000001,Cloudy
2018-12-24,25.808333333333334,8.35,Rainy
2018-12-25,25.8,9.25,Cloudy
2018-12-26,25.991666666666664,8.709999999999999,Rainy
2018-12-27,27.041666666666668,12.05,Cloudy
2018-12-28,25.933333333333334,11.48,Partly Cloudy
2018-12-29,26.379166666666666,11.629999999999999,Partly Sunny
2018-12-30,26.8125,10.19,Cloudy
2018-12-31,26.1375,8.55,Cloudy
2019-01-01,26.3,12.2,Cloudy
2019-01-02,26.079166666666666,10.21,Partly Cloudy
2019-01-03,26.5125,10.17,Cloudy
2019-01-04,26.087500000000002,10.46,Cloudy
2019-01-05,26.233333333333334,10.040000000000001,Cloudy
2019-01-06,25.920833333333334,9.22,Cloudy
2019-01-07,26.15833333333333,9.14,Cloudy
2019-01-08,25.566666666666666,7.6,Rainy
2019-01-09,26.445833333333336,10.2,Cloudy
2019-01-10,25.679166666666664,7.75,Cloudy
2019-01-11,25.412499999999998,8.74,Cloudy
2019-01-12,25.683333333333334,10.26,Partly Cloudy
2019-01-13,26.254166666666666,11.82,Partly Cloudy
2019-01-14,25.620833333333334,8.62,Cloudy
2019-01-15,25.520833333333332,6.78,Cloudy
2019-01-16,25.916666666666668,9.29,Cloudy
2019-01-17,26.191666666666666,9.67,Cloudy
2019-01-18,26.162499999999998,7.95,Cloudy
2019-01-19,25.929166666666664,7.4,Cloudy
2019-01-20,26.179166666666664,10.280000000000001,Cloudy
2019-01-21,25.733333333333334,9.370000000000001,Cloudy
2019-01-22,26.391666666666666,8.09,Cloudy
2019-01-23,26.03333333333333,9.84,Rainy
2019-01-24,26.016666666666666,8.6,Cloudy
2019-01-25,26.241666666666664,9.55,Cloudy
2019-01-26,26.416666666666668,8.95,Cloudy
2019-01-27,25.854166666666668,11.65,Rainy
2019-01-28,26.058333333333334,8.92,Cloudy
2019-01-29,25.90833333333333,11.57,Cloudy
2019-01-30,26.329166666666666,8.02,Cloudy
2019-01-31,25.958333333333332,8.81,Cloudy
2019-02-01,27.391666666666666,14.66,Partly Sunny
2019-02-02,27.829166666666666,18.52,Partly Sunny
2019-02-03,27.441666666666666,18.15,Partly Sunny
2019-02-04,27.77916666666667,16.73,Cloudy
2019-02-05,27.933333333333334,16.98,Partly Sunny
2019-02-06,27.400000000000002,19.01,Sunny
2019-02-07,26.945833333333336,19.87,Partly Sunny
2019-02-08,27.7625,16.62,Partly Sunny
2019-02-09,27.78333333333333,19.12,Sunny
2019-02-10,27.3875,20.13,Sunny
2019-02-11,27.754166666666666,19.29,Partly Sunny
2019-02-12,28.129166666666666,18.580000000000002,Sunny
2019-02-13,27.479166666666668,18.75,Partly Sunny
2019-02-14,26.995833333333334,14.75,Cloudy
2019-02-15,26.599999999999998,15.49,Partly Cloudy
2019-02-16,27.375,18.09,Sunny
2019-02-17,27.287499999999998,17.75,Partly Sunny
2019-02-18,27.15416666666667,14.3,Partly Cloudy
2019-02-19,27.541666666666668,17.46,Sunny
2019-02-20,26.758333333333336,15.31,Partly Cloudy
2019-02-21,27.354166666666668,17.8,Sunny
2019-02-22,27.625,19.67,Sunny
2019-02-23,28.375,17.35,Sunny
2019-02-24,27.320833333333336,19.85,Cloudy
2019-02-25,27.1375,17.72,Partly Sunny
2019-02-26,27.520833333333332,18.65,Cloudy
2019-02-27,28.0625,18.5,Sunny
2019-02-28,27.287499999999998,15.65,Cloudy
2019-03-01,27.258333333333336,15.7,Cloudy
2019-03-02,27.47083333333333,19.64,Cloudy
2019-03-03,27.8125,18.53,Partly Sunny
2019-03-04,27.21666666666667,16.13,Partly Sunny
2019-03-05,27.866666666666664,16.95,Partly Sunny
2019-03-06,27.979166666666668,18.28,Sunny
2019-03-07,27.545833333333334,17.44,Partly Sunny
2019-03-08,27.96666666666667,16.45,Sunny
2019-03-09,27.900000000000002,19.66,Sunny
2019-03-10,27.9375,16.35,Cloudy
2019-03-11,27.47083333333333,18.35,Partly Sunny
2019-03-12,26.866666666666664,18.44,Partly Cloudy
2019-03-13,26.666666666666668,15.42,Partly Cloudy
2019-03-14,27.1125,16.51,Sunny
2019-03-15,27.599999999999998,19.259999999999998,Partly Sunny
2019-03-16,27.683333333333334,18.96,Partly Cloudy
2019-03-17,27.40416666666667,18.52,Partly Sunny
2019-03-18,26.858333333333334,15.07,Partly Cloudy
2019-03-19,27.791666666666668,20.97,Sunny
2019-03-20,27.712500000000002,19.04,Partly Sunny
2019-03-21,27.366666666666664,18.77,Partly Cloudy
2019-03-22,27.445833333333336,16.66,Sunny
2019-03-23,27.729166666666668,18.19,Cloudy
2019-03-24,27.633333333333336,16.95,Partly Sunny
2019-03-25,27.849999999999998,16.23,Partly Sunny
2019-03-26,26.65833333333333,14.66,Partly Sunny
2019-03-27,26.9875,16.83,Cloudy
2019-03-28,27.204166666666666,15.96,Cloudy
2019-03-29,27.28333333333333,15.66,Partly Cloudy
2019-03-30,26.766666666666666,17.82,Partly Sunny
2019-03-31,27.954166666666666,19.22,Sunny
2019-04-01,27.40833333333333,14.4,Partly Sunny
2019-04-02,27.537499999999998,16.57,Sunny
2019-04-03,27.754166666666666,18.85,Partly Sunny
